question,answer,tags,priority,enabled
"How do I request a custom project? Demo 233","Use the inquiry form and provide your project brief. This demo row is entry 233.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 234","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 234.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 235","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 235.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 236","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 236.","company;overview",10,"true"
"How do I contact support? Demo 237","Email the support team or use the support form on the site. This demo row is entry 237.","support;contact",9,"true"
"How do I request a custom project? Demo 238","Use the inquiry form and provide your project brief. This demo row is entry 238.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 239","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 239.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 240","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 240.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 241","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 241.","company;overview",10,"true"
"How do I contact support? Demo 242","Email the support team or use the support form on the site. This demo row is entry 242.","support;contact",9,"true"
"How do I request a custom project? Demo 243","Use the inquiry form and provide your project brief. This demo row is entry 243.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 244","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 244.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 245","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 245.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 246","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 246.","company;overview",10,"true"
"How do I contact support? Demo 247","Email the support team or use the support form on the site. This demo row is entry 247.","support;contact",9,"true"
"How do I request a custom project? Demo 248","Use the inquiry form and provide your project brief. This demo row is entry 248.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 249","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 249.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 250","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 250.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 251","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 251.","company;overview",10,"true"
"How do I contact support? Demo 252","Email the support team or use the support form on the site. This demo row is entry 252.","support;contact",9,"true"
"How do I request a custom project? Demo 253","Use the inquiry form and provide your project brief. This demo row is entry 253.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 254","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 254.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 255","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 255.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 256","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 256.","company;overview",10,"true"
"How do I contact support? Demo 257","Email the support team or use the support form on the site. This demo row is entry 257.","support;contact",9,"true"
"How do I request a custom project? Demo 258","Use the inquiry form and provide your project brief. This demo row is entry 258.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 259","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 259.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 260","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 260.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 261","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 261.","company;overview",10,"true"
"How do I contact support? Demo 262","Email the support team or use the support form on the site. This demo row is entry 262.","support;contact",9,"true"
"How do I request a custom project? Demo 263","Use the inquiry form and provide your project brief. This demo row is entry 263.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 264","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 264.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 265","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 265.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 266","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 266.","company;overview",10,"true"
"How do I contact support? Demo 267","Email the support team or use the support form on the site. This demo row is entry 267.","support;contact",9,"true"
"How do I request a custom project? Demo 268","Use the inquiry form and provide your project brief. This demo row is entry 268.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 269","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 269.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 270","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 270.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 271","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 271.","company;overview",10,"true"
"How do I contact support? Demo 272","Email the support team or use the support form on the site. This demo row is entry 272.","support;contact",9,"true"
"How do I request a custom project? Demo 273","Use the inquiry form and provide your project brief. This demo row is entry 273.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 274","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 274.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 275","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 275.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 276","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 276.","company;overview",10,"true"
"How do I contact support? Demo 277","Email the support team or use the support form on the site. This demo row is entry 277.","support;contact",9,"true"
"How do I request a custom project? Demo 278","Use the inquiry form and provide your project brief. This demo row is entry 278.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 279","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 279.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 280","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 280.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 281","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 281.","company;overview",10,"true"
"How do I contact support? Demo 282","Email the support team or use the support form on the site. This demo row is entry 282.","support;contact",9,"true"
"How do I request a custom project? Demo 283","Use the inquiry form and provide your project brief. This demo row is entry 283.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 284","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 284.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 285","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 285.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 286","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 286.","company;overview",10,"true"
"How do I contact support? Demo 287","Email the support team or use the support form on the site. This demo row is entry 287.","support;contact",9,"true"
"How do I request a custom project? Demo 288","Use the inquiry form and provide your project brief. This demo row is entry 288.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 289","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 289.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 290","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 290.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 291","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 291.","company;overview",10,"true"
"How do I contact support? Demo 292","Email the support team or use the support form on the site. This demo row is entry 292.","support;contact",9,"true"
"How do I request a custom project? Demo 293","Use the inquiry form and provide your project brief. This demo row is entry 293.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 294","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 294.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 295","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 295.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 296","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 296.","company;overview",10,"true"
"How do I contact support? Demo 297","Email the support team or use the support form on the site. This demo row is entry 297.","support;contact",9,"true"
"How do I request a custom project? Demo 298","Use the inquiry form and provide your project brief. This demo row is entry 298.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 299","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 299.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 300","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 300.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 301","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 301.","company;overview",10,"true"
"How do I contact support? Demo 302","Email the support team or use the support form on the site. This demo row is entry 302.","support;contact",9,"true"
"How do I request a custom project? Demo 303","Use the inquiry form and provide your project brief. This demo row is entry 303.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 304","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 304.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 305","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 305.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 306","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 306.","company;overview",10,"true"
"How do I contact support? Demo 307","Email the support team or use the support form on the site. This demo row is entry 307.","support;contact",9,"true"
"How do I request a custom project? Demo 308","Use the inquiry form and provide your project brief. This demo row is entry 308.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 309","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 309.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 310","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 310.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 311","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 311.","company;overview",10,"true"
"How do I contact support? Demo 312","Email the support team or use the support form on the site. This demo row is entry 312.","support;contact",9,"true"
"How do I request a custom project? Demo 313","Use the inquiry form and provide your project brief. This demo row is entry 313.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 314","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 314.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 315","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 315.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 316","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 316.","company;overview",10,"true"
"How do I contact support? Demo 317","Email the support team or use the support form on the site. This demo row is entry 317.","support;contact",9,"true"
"How do I request a custom project? Demo 318","Use the inquiry form and provide your project brief. This demo row is entry 318.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 319","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 319.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 320","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 320.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 321","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 321.","company;overview",10,"true"
"How do I contact support? Demo 322","Email the support team or use the support form on the site. This demo row is entry 322.","support;contact",9,"true"
"How do I request a custom project? Demo 323","Use the inquiry form and provide your project brief. This demo row is entry 323.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 324","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 324.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 325","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 325.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 326","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 326.","company;overview",10,"true"
"How do I contact support? Demo 327","Email the support team or use the support form on the site. This demo row is entry 327.","support;contact",9,"true"
"How do I request a custom project? Demo 328","Use the inquiry form and provide your project brief. This demo row is entry 328.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 329","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 329.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 330","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 330.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 331","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 331.","company;overview",10,"true"
"How do I contact support? Demo 332","Email the support team or use the support form on the site. This demo row is entry 332.","support;contact",9,"true"
"How do I request a custom project? Demo 333","Use the inquiry form and provide your project brief. This demo row is entry 333.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 334","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 334.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 335","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 335.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 336","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 336.","company;overview",10,"true"
"How do I contact support? Demo 337","Email the support team or use the support form on the site. This demo row is entry 337.","support;contact",9,"true"
"How do I request a custom project? Demo 338","Use the inquiry form and provide your project brief. This demo row is entry 338.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 339","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 339.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 340","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 340.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 341","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 341.","company;overview",10,"true"
"How do I contact support? Demo 342","Email the support team or use the support form on the site. This demo row is entry 342.","support;contact",9,"true"
"How do I request a custom project? Demo 343","Use the inquiry form and provide your project brief. This demo row is entry 343.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 344","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 344.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 345","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 345.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 346","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 346.","company;overview",10,"true"
"How do I contact support? Demo 347","Email the support team or use the support form on the site. This demo row is entry 347.","support;contact",9,"true"
"How do I request a custom project? Demo 348","Use the inquiry form and provide your project brief. This demo row is entry 348.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 349","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 349.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 350","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 350.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 351","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 351.","company;overview",10,"true"
"How do I contact support? Demo 352","Email the support team or use the support form on the site. This demo row is entry 352.","support;contact",9,"true"
"How do I request a custom project? Demo 353","Use the inquiry form and provide your project brief. This demo row is entry 353.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 354","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 354.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 355","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 355.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 356","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 356.","company;overview",10,"true"
"How do I contact support? Demo 357","Email the support team or use the support form on the site. This demo row is entry 357.","support;contact",9,"true"
"How do I request a custom project? Demo 358","Use the inquiry form and provide your project brief. This demo row is entry 358.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 359","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 359.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 360","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 360.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 361","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 361.","company;overview",10,"true"
"How do I contact support? Demo 362","Email the support team or use the support form on the site. This demo row is entry 362.","support;contact",9,"true"
"How do I request a custom project? Demo 363","Use the inquiry form and provide your project brief. This demo row is entry 363.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 364","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 364.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 365","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 365.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 366","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 366.","company;overview",10,"true"
"How do I contact support? Demo 367","Email the support team or use the support form on the site. This demo row is entry 367.","support;contact",9,"true"
"How do I request a custom project? Demo 368","Use the inquiry form and provide your project brief. This demo row is entry 368.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 369","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 369.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 370","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 370.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 371","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 371.","company;overview",10,"true"
"How do I contact support? Demo 372","Email the support team or use the support form on the site. This demo row is entry 372.","support;contact",9,"true"
"How do I request a custom project? Demo 373","Use the inquiry form and provide your project brief. This demo row is entry 373.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 374","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 374.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 375","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 375.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 376","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 376.","company;overview",10,"true"
"How do I contact support? Demo 377","Email the support team or use the support form on the site. This demo row is entry 377.","support;contact",9,"true"
"How do I request a custom project? Demo 378","Use the inquiry form and provide your project brief. This demo row is entry 378.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 379","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 379.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 380","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 380.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 381","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 381.","company;overview",10,"true"
"How do I contact support? Demo 382","Email the support team or use the support form on the site. This demo row is entry 382.","support;contact",9,"true"
"How do I request a custom project? Demo 383","Use the inquiry form and provide your project brief. This demo row is entry 383.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 384","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 384.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 385","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 385.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 386","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 386.","company;overview",10,"true"
"How do I contact support? Demo 387","Email the support team or use the support form on the site. This demo row is entry 387.","support;contact",9,"true"
"How do I request a custom project? Demo 388","Use the inquiry form and provide your project brief. This demo row is entry 388.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 389","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 389.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 390","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 390.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 391","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 391.","company;overview",10,"true"
"How do I contact support? Demo 392","Email the support team or use the support form on the site. This demo row is entry 392.","support;contact",9,"true"
"How do I request a custom project? Demo 393","Use the inquiry form and provide your project brief. This demo row is entry 393.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 394","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 394.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 395","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 395.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 396","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 396.","company;overview",10,"true"
"How do I contact support? Demo 397","Email the support team or use the support form on the site. This demo row is entry 397.","support;contact",9,"true"
"How do I request a custom project? Demo 398","Use the inquiry form and provide your project brief. This demo row is entry 398.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 399","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 399.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 400","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 400.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 401","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 401.","company;overview",10,"true"
"How do I contact support? Demo 402","Email the support team or use the support form on the site. This demo row is entry 402.","support;contact",9,"true"
"How do I request a custom project? Demo 403","Use the inquiry form and provide your project brief. This demo row is entry 403.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 404","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 404.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 405","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 405.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 406","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 406.","company;overview",10,"true"
"How do I contact support? Demo 407","Email the support team or use the support form on the site. This demo row is entry 407.","support;contact",9,"true"
"How do I request a custom project? Demo 408","Use the inquiry form and provide your project brief. This demo row is entry 408.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 409","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 409.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 410","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 410.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 411","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 411.","company;overview",10,"true"
"How do I contact support? Demo 412","Email the support team or use the support form on the site. This demo row is entry 412.","support;contact",9,"true"
"How do I request a custom project? Demo 413","Use the inquiry form and provide your project brief. This demo row is entry 413.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 414","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 414.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 415","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 415.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 416","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 416.","company;overview",10,"true"
"How do I contact support? Demo 417","Email the support team or use the support form on the site. This demo row is entry 417.","support;contact",9,"true"
"How do I request a custom project? Demo 418","Use the inquiry form and provide your project brief. This demo row is entry 418.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 419","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 419.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 420","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 420.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 421","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 421.","company;overview",10,"true"
"How do I contact support? Demo 422","Email the support team or use the support form on the site. This demo row is entry 422.","support;contact",9,"true"
"How do I request a custom project? Demo 423","Use the inquiry form and provide your project brief. This demo row is entry 423.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 424","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 424.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 425","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 425.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 426","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 426.","company;overview",10,"true"
"How do I contact support? Demo 427","Email the support team or use the support form on the site. This demo row is entry 427.","support;contact",9,"true"
"How do I request a custom project? Demo 428","Use the inquiry form and provide your project brief. This demo row is entry 428.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 429","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 429.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 430","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 430.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 431","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 431.","company;overview",10,"true"
"How do I contact support? Demo 432","Email the support team or use the support form on the site. This demo row is entry 432.","support;contact",9,"true"
"How do I request a custom project? Demo 433","Use the inquiry form and provide your project brief. This demo row is entry 433.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 434","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 434.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 435","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 435.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 436","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 436.","company;overview",10,"true"
"How do I contact support? Demo 437","Email the support team or use the support form on the site. This demo row is entry 437.","support;contact",9,"true"
"How do I request a custom project? Demo 438","Use the inquiry form and provide your project brief. This demo row is entry 438.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 439","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 439.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 440","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 440.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 441","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 441.","company;overview",10,"true"
"How do I contact support? Demo 442","Email the support team or use the support form on the site. This demo row is entry 442.","support;contact",9,"true"
"How do I request a custom project? Demo 443","Use the inquiry form and provide your project brief. This demo row is entry 443.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 444","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 444.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 445","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 445.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 446","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 446.","company;overview",10,"true"
"How do I contact support? Demo 447","Email the support team or use the support form on the site. This demo row is entry 447.","support;contact",9,"true"
"How do I request a custom project? Demo 448","Use the inquiry form and provide your project brief. This demo row is entry 448.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 449","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 449.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 450","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 450.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 451","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 451.","company;overview",10,"true"
"How do I contact support? Demo 452","Email the support team or use the support form on the site. This demo row is entry 452.","support;contact",9,"true"
"How do I request a custom project? Demo 453","Use the inquiry form and provide your project brief. This demo row is entry 453.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 454","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 454.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 455","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 455.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 456","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 456.","company;overview",10,"true"
"How do I contact support? Demo 457","Email the support team or use the support form on the site. This demo row is entry 457.","support;contact",9,"true"
"How do I request a custom project? Demo 458","Use the inquiry form and provide your project brief. This demo row is entry 458.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 459","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 459.","storage;uploads",7,"true"
"How do chatbot FAQs work? Demo 460","Each row becomes a knowledge-base answer that the chatbot can match. This demo row is entry 460.","chatbot;faq",7,"true"
"What is Drifts AI? Demo 461","Drifts AI is a CRM-driven website and lead management system. This demo row is entry 461.","company;overview",10,"true"
"How do I contact support? Demo 462","Email the support team or use the support form on the site. This demo row is entry 462.","support;contact",9,"true"
"How do I request a custom project? Demo 463","Use the inquiry form and provide your project brief. This demo row is entry 463.","sales;inquiry",8,"true"
"Where do uploaded files go? Demo 464","Uploaded images are stored in Supabase Storage and linked in the CMS. This demo row is entry 464.","storage;uploads",7,"true"
